AgentId, Run0, Run1, Run2, Run3, Run4, Run5, Run6, Run7, Run8, Run9
0, false, false, false, false, false, false, false, false, false, false
1, false, true, true, true, true, false, true, true, true, true
2, false, true, false, false, true, true, true, true, false, true
3, false, false, true, false, true, true, false, true, true, true
4, false, false, false, true, false, true, true, true, true, false
5, false, true, false, true, false, false, false, false, false, false
6, false, false, true, true, true, true, true, true, true, false
7, true, true, false, false, false, true, true, true, true, true
8, false, false, true, true, true, true, true, false, true, true
9, false, true, true, false, true, true, true, false, false, false
10, true, false, false, false, false, false, true, true, false, false
11, false, true, true, true, true, true, false, false, true, true
12, true, true, false, true, false, true, true, false, false, false
13, false, true, true, true, true, false, false, false, false, true
14, true, true, false, true, false, true, true, true, false, true
15, false, true, true, false, true, true, false, false, true, false
16, true, false, true, false, false, false, false, true, true, true
17, false, true, false, false, true, true, true, true, false, true
18, true, true, false, true, false, true, false, true, false, false
19, true, false, true, false, true, false, false, true, true, true
20, false, true, true, true, false, false, false, true, false, true
21, false, true, true, true, true, false, true, false, true, true
22, true, true, false, true, false, true, true, false, true, true
23, false, false, true, true, true, false, true, true, true, false
24, true, false, false, false, false, true, false, true, true, true
25, false, true, false, true, true, false, false, true, true, false
26, true, false, true, true, true, false, true, true, false, false
27, true, false, true, false, false, true, true, false, true, false
28, false, false, true, true, true, false, false, false, true, false
29, false, true, true, false, true, true, true, true, true, false
30, false, false, false, false, true, false, false, true, false, true
31, false, true, false, true, true, false, true, false, false, false
32, true, false, true, false, false, true, true, true, false, true
33, false, true, true, true, true, false, true, true, true, true
34, true, false, false, false, false, true, true, false, false, false
35, false, true, false, false, true, true, false, false, true, true
36, false, true, true, false, true, true, false, false, false, false
37, true, false, true, true, true, false, true, false, true, true
38, true, true, true, true, true, false, true, true, false, false
39, false, true, false, true, false, true, false, true, false, false
40, true, false, true, false, false, false, true, false, false, true
41, false, true, true, true, false, true, false, false, false, true
42, true, true, true, false, false, true, true, false, true, true
43, true, true, true, true, false, false, true, false, true, false
44, false, false, true, false, false, true, true, true, true, true
45, false, false, false, true, true, false, false, true, false, true
46, false, false, true, true, false, true, true, false, true, true
47, true, false, false, true, true, true, true, true, true, false
