AgentId, Run0, Run1, Run2, Run3, Run4, Run5, Run6, Run7, Run8, Run9
0, false, false, false, false, false, false, false, false, false, false
1, true, true, false, true, true, true, true, true, true, true
2, true, true, true, false, true, true, false, false, false, true
3, true, true, true, true, false, false, true, true, true, false
4, true, false, true, false, true, true, false, true, true, true
5, false, true, false, true, true, true, false, false, false, false
6, true, true, true, false, false, true, true, false, false, true
7, true, false, true, true, true, true, true, true, false, true
8, true, true, false, false, false, true, false, true, true, true
9, false, false, true, true, true, true, false, true, true, false
10, false, true, true, true, true, false, true, true, false, true
11, true, true, true, true, false, false, false, true, true, true
12, false, true, true, false, true, true, true, false, true, true
13, true, false, false, false, true, false, false, true, false, false
14, true, true, false, false, true, true, true, false, true, true
15, true, false, false, true, true, true, true, false, true, true
16, true, false, true, false, true, false, true, false, true, false
17, true, false, true, true, true, true, true, true, true, false
18, true, false, false, false, true, true, false, true, false, true
19, true, true, false, true, true, true, false, true, true, false
20, true, false, false, false, false, true, true, false, false, false
21, false, true, true, true, false, false, false, true, false, false
22, false, true, true, true, true, true, false, false, false, true
23, false, true, false, true, true, false, true, false, false, false
24, true, false, true, true, false, true, false, false, true, true
25, false, false, true, false, true, false, true, true, true, true
26, false, true, false, true, false, false, true, false, false, true
27, true, false, false, true, true, true, true, true, true, false
28, false, true, false, false, true, false, true, false, false, true
29, true, true, true, true, true, true, true, true, false, true
30, false, false, true, false, false, false, true, false, true, true
31, false, false, true, false, true, false, true, true, true, false
32, false, true, false, true, true, true, false, true, false, true
33, false, true, true, false, false, false, false, false, true, true
34, true, false, false, false, false, true, false, false, false, true
35, true, true, true, true, true, false, true, true, true, true
36, true, false, true, false, true, false, true, false, false, false
37, false, true, true, true, true, false, false, true, true, true
38, true, false, true, true, true, false, false, true, true, true
39, true, true, true, false, false, false, true, true, true, false
40, false, true, true, true, true, false, true, false, true, false
41, true, true, true, true, true, true, true, true, true, true
42, false, true, false, true, false, false, true, true, true, false
43, true, false, true, false, true, true, false, false, false, false
44, false, false, true, true, false, false, true, false, true, true
45, true, false, true, false, true, false, false, true, true, false
46, true, false, true, false, true, true, false, true, false, false
47, true, true, true, true, true, true, false, false, false, true
48, true, true, false, false, false, true, true, false, false, false
49, false, true, false, false, false, true, true, false, true, false
50, false, true, true, true, true, true, true, true, true, true
51, false, true, true, true, true, true, false, false, true, false
52, true, true, false, false, true, false, false, true, false, true
53, false, false, true, false, false, true, false, false, true, false
54, true, true, false, true, true, true, true, true, true, false
55, true, true, true, true, false, false, true, false, false, true
56, true, true, true, false, false, true, true, true, true, true
57, false, true, true, false, true, false, false, true, false, true
58, true, false, false, true, true, false, false, true, false, true
59, false, true, false, true, false, true, true, true, true, false
60, false, false, false, false, true, false, true, false, true, true
61, false, true, false, true, true, true, false, false, true, false
62, false, true, true, false, true, true, false, true, true, false
63, false, true, false, true, true, false, true, true, false, false
64, false, false, false, false, true, false, true, false, true, true
65, true, true, true, false, false, true, true, true, false, true
66, false, true, false, true, false, true, true, false, false, true
67, true, false, false, false, true, true, true, false, true, false
68, false, false, false, true, false, false, false, true, true, true
69, true, false, false, false, false, true, false, false, true, true
70, true, false, true, true, true, true, false, true, true, true
71, true, true, true, true, true, false, true, true, true, true
72, true, false, false, false, true, false, true, false, true, true
73, false, true, true, true, false, true, false, false, false, true
74, false, true, false, false, true, false, true, true, false, true
75, true, true, true, true, false, false, false, false, false, false
76, false, true, false, false, false, true, true, true, false, true
77, true, false, true, true, false, true, true, true, true, true
78, false, true, false, true, true, true, true, false, false, false
79, false, false, false, true, true, false, true, true, true, false
80, true, true, false, true, false, true, true, true, true, true
81, true, false, true, true, true, false, false, false, true, true
82, true, true, false, false, true, true, true, false, false, true
83, true, true, false, true, true, true, false, true, true, true
84, true, false, true, false, true, true, true, false, true, false
85, true, true, true, true, true, true, true, true, true, true
86, true, false, true, false, false, true, false, false, true, true
87, true, false, true, false, true, true, false, true, false, false
88, true, true, true, true, false, false, false, false, false, true
89, true, true, true, false, false, false, true, false, false, true
90, false, false, false, true, true, true, true, true, false, false
91, false, true, true, false, true, true, false, true, false, true
92, true, false, true, true, true, true, true, false, false, false
93, false, true, false, false, false, true, false, false, false, true
94, false, false, true, true, false, true, false, true, true, false
95, true, true, false, true, true, false, true, false, true, true
96, false, true, false, true, false, true, true, true, true, true
97, false, true, false, true, true, false, true, false, false, true
98, true, false, false, false, false, false, true, true, false, true
99, false, true, true, false, true, true, true, false, false, false
100, true, false, true, true, true, false, true, true, false, false
101, false, true, true, false, false, false, false, false, false, false
102, false, true, true, false, false, false, true, true, true, true
103, false, false, false, true, false, true, true, false, true, false
104, true, false, true, false, true, false, true, true, true, false
105, false, true, true, false, false, false, true, true, false, false
106, false, false, true, true, false, false, true, true, false, true
107, true, true, false, true, true, true, false, true, true, false
